Article ID,Claims
58,"[
    ""The U.S. economy has largely defied fears of a tariff-induced downturn."",
    ""The U.S. economy expanded more than expected as President Donald Trump’s tariffs took hold over recent months, federal government data on Wednesday showed."",
    ""U.S. gross domestic product, or GDP, increased at a 3% annualized rate over three months ending in June. The figure marked a sharp acceleration from an annualized contraction of -0.5% over the first three months of 2025."",
    ""The reading amounted to sturdy economic growth, suggesting the economy has continued to avert a significant tariff-induced cooldown."",
    ""A boost in consumer spending helped propel the economic surge."",
    ""To some degree, Trump’s levies have blurred the GDP findings."",
    ""The government's GDP formula subtracts imports in an effort to exclude foreign production from the calculation of total goods and services. Changes in the reading on this account reveal neither underlying economic weakness nor strength."",
    ""The measure of the GDP fell over the first three months of the year, largely due to a surge of imports as firms stockpiled inventory to avoid far-reaching tariffs."",
    ""A drop-off in imports over the second quarter may have inflated the second-quarter GDP figure."",
    ""The U.S. economy so far has largely defied fears of a tariff-induced downturn."",
    ""The unemployment rate stands near a historically low level and job growth remains robust, though it has slowed from previous highs."",
    ""Inflation has climbed over the last two months but it remains below where it stood when Trump took office."",
    ""In the months following Trump’s 'Liberation Day' tariffs, in April, consumer sentiment declined to its lowest level in years, raising concern about a possible pullback in consumer spending, which accounts for about two-thirds of economic activity."",
    ""Consumer sentiment has ticked up for two consecutive months, however, as Trump has rolled back some of his steepest tariffs."",
    ""Consumer spending has proven fairly resilient."",
    ""In theory, sturdy economic growth eases pressure on the Fed to lower interest rates, since consumers and businesses appear undeterred by high borrowing costs."",
    ""If growth begins to slow, the Fed could seek to lower interest rates as a means of boosting economic performance."",
    ""The Fed has adopted a wait-and-see approach as it continues to observe the effects of Trump's tariffs.""
]"
59,"[
    ""U.S. economy has largely defied economists' fears of a tariff-induced downturn."",
    ""Consumer sentiment ticked higher in July, marking two consecutive months of improved shopper attitudes as businesses navigated President Donald Trump’s latest tariff threats targeting dozens of countries."",
    ""The recent resurgence of consumer sentiment followed six straight months of worsening attitudes."",
    ""Before the swell of optimism, consumer sentiment had fallen to near its lowest level since a bout of inflation three years ago."",
    ""Despite the new data, the measure of consumer sentiment remains 16% lower than where it stood in December, before Trump took office."",
    ""Year-ahead inflation expectations dropped for a second consecutive month, declining from 5.0% in June to 4.4% this month."",
    ""The anticipated inflation level would still mark a major increase from the current year-over-year inflation of 2.7%."",
    ""The new report on consumer sentiment came a day after the release of retail sales data that showed unexpectedly strong performance in June."",
    ""Robust shopper appetites last month suggested that the uncertainty surrounding Trump’s tariffs hadn't prompted households to stash extra income."",
    ""Consumer spending, which accounts for about two-thirds of U.S. economic activity, is a key bellwether for the outlook of the nation’s economy."",
    ""So far, key measures of the economy have largely defied fears of a tariff-induced downturn."",
    ""The unemployment rate stands near a historically low level and job growth remains robust, though it has slowed from previous highs."",
    ""Inflation has climbed over the last two months but it remains below where it stood when Trump took office."",
    ""Typically, importers pass along a share of the tariff-related tax burden in the form of higher costs for shoppers."",
    ""A host of major retailers, including Walmart and Best Buy, have warned of potential price hikes as a result of Trump's levies."",
    ""Trump has rolled back many of his steepest tariffs over recent months, including a sky-high levy on China, the top source of U.S. imports."",
    ""The fresh levies are set to take effect on Aug. 1."",
    ""A proposed 50% tariff on copper imports could intensify the impact of the country-specific levies.""
]"
60,
61,
62,
63,
64,"[
    ""The US has negligible imports from Russia, which account for around 0.2% of U.S. imports, according to Census Bureau data."",
    ""The threat of secondary tariffs or sanctions on Russia's trading partners appears more significant, though may prompt retaliatory measures against the U.S. China and India, for example, are among Moscow's customers for its fossil fuel exports.""
]"
65,"[
    ""Consumer prices rose 2.7% in June compared to a year ago, marking a notable surge of price increases as President Donald Trump's tariff policy took hold and some retailers warned they may pass some of the tax burden onto shoppers."",
    ""The fresh data indicated an acceleration from 2.4% annual inflation recorded in May."",
    ""Still, the inflation rate clocked in below 3% recorded in January, the month Trump took office."",
    ""Egg prices cooled significantly in June, deviating from an overall rise in prices. The price of eggs climbed 27% over the year ending in June, which marked a slowdown from 41% year-over-year growth in May."",
    ""Under Trump, inflation has defied doomsday predictions and helped to propel sturdy economic performance."",
    ""While inflation has eased, price increases have persisted at a higher rate than the Federal Reserve's target level of 2%."",
    ""Some analysts expect price increases to accelerate over the coming months as tariffs take hold, though they acknowledged that the path forward remains unclear amid Trump's fluctuating policy."",
    ""Typically, importers pass along a share of the tariff-related tax burden in the form of higher costs for shoppers. A host of major retailers, including Walmart and Best Buy, has warned about potential price hikes as a result of Trump's levies."",
    ""The Federal Reserve issued a forecast last month indicating the central bank expects a rekindling of inflation."",
    ""The personal consumption expenditures index, a measure of inflation preferred by the Fed, will rise from 2.1% to 3% over the remainder of 2025, the central bank predicted. That forecast marked higher inflation expectations than the central bank had issued in March."",
    ""So far this year, the Fed has opted to hold interest rates steady as policymakers assess the potential impact of tariffs."",
    ""Investors peg the chances of a decision to leave rates unchanged at 95%, according to the CME FedWatch Tool, a measure of market sentiment.""
]"
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,"[
    ""U.S. stocks tumbled on Friday in the immediate aftermath of sweeping new tariffs issued by President Donald Trump."",
    ""A weak jobs report also intensified the selloff."",
    ""A report on gross domestic product indicated a slowdown of growth over the first half of the year."",
    ""A sweeping round of tariffs hit nearly 70 countries."",
    ""The stock market, however, hardly blinked."",
    ""The tech-heavy Nasdaq has ticked up 0.4% since the end of trading last Tuesday."",
    ""Over that same period, the S&P 500 has dropped 0.6%, while the Dow Jones Industrial Average has fallen 1.4%."",
    ""Despite mixed results, the indexes remain well above where they stood three months ago."",
    ""The Nasdaq has surged 20% since May, while the S&P 500 has jumped 13%. The Dow has climbed 7% over that period."",
    ""Analysts who spoke to ABC News attributed investor optimism to robust corporate profits, the prospect of interest rate cuts at the Federal Reserve and an abiding expectation that Trump will not return to the steep tariffs initially rolled out in April."",
    ""The resilient stock market has generated a momentum of its own."",
    ""The economy added an average of about 35,000 jobs over three months ending in July, which marks a major slowdown from roughly 128,000 jobs added monthly over the prior three months, U.S. Bureau of Labor Statistics data on Friday showed."",
    ""Employers are hiring at their slowest pace since 2020."",
    ""Fresh GDP data indicated average annualized growth of 1.2% over the first half of 2025, well below 2.8% growth last year."",
    ""The major stock indexes fell markedly last Friday, suggesting concern among traders about the weak jobs report. Within days, however, stocks had largely recovered the losses."",
    ""Alongside mixed signals from the economy, a series of major companies have released strong earnings, indicating a resilient corporate bottom line."",
    ""The list of high-performers includes tech giants like Meta and Microsoft, which account for a disproportionately large share of the S&P 500."",
    ""The outlook for the economy remains uncertain, leaving open the possibility of continued growth and soaring stocks."",
    ""The economy has largely averted the type of widespread job losses that often accompany a recession."",
    ""Consumer spending, which accounts for about two-thirds of economic activity, ticked higher over three months ending in June."",
    ""If the economy sours, the Federal Reserve will likely move forward with interest rate cuts, buoying the market."",
    ""Still, the combination of elevated tariffs and sluggish hiring could hurtle the U.S. toward an economic double-whammy known as 'stagflation,' in which the economy slows while prices rise."",
    ""Potential stagflation poses difficulty for the Fed. If the Fed raises interest rates as a means of protecting against tariff-induced inflation under such a scenario, it risks stifling borrowing and slowing the economy further."",
    ""On the other hand, if the Fed lowers rates to stimulate the economy in the face of a potential slowdown, it threatens to boost spending and worsen inflation."",
    ""Prices climbed less than expected in July, despite Trump's tariffs.""
]"
85,
86,"[
    ""The tariff threat also currently remains vague and some experts have expressed doubts it can be effectively imposed."",
    ""So-called 'secondary tariffs' to punish countries that import Russian oil and gas could have a potent effect but are complicated and, for example, could require a major showdown with China."",
    ""The Trump administration may hope Putin will be more inclined to negotiate once Russia's offensive exhausts itself, particularly if it goes badly."",
    ""Intensified sanctions -- if they come -- and greatly increased weapons might slowly push Putin towards real negotiations, if his summer offensive fails to achieve much.""
]"
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
